# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0      8     55      -      0      0      0      0      0      0   6001    705      0      0   3753   8163      -      7      0 
    0     13     56      -     42     32      0      0      0      0   6001    570      0      0   3753   8163      -      5      0 
    0     12     55      -      0      0      0      0      0      0   6001    450      0      0   3753   8163      -      2      2 
    0     11     56      -     25     15      0      0      0      0   6001    465      0      0   3753   8163      -      1     36 
    0     24     56      -     32     15      0      0      0      0   6001    360      0      0   3753   8163      -      0      2 
    0     12     55      -     52     22      0      0      0      0   6001    315      0      0   3753   8163      -      6     34 
    0     12     56      -     31     15      0      0      0      0   6001    375      0      0   3753   8163      -      1      2 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     13     55      -     38     24      0      0      0      0   6001    480      0      0   3753   8163      -      4     33 
    0     13     56      -     30     19      0      0      0      0   6001    465      0      0   3753   8163      -      0      0 
    0     13     56      -    100     12      0      0      0      0   6001    360      0      0   3753   8163      -      7      0 
    0     34     56      -     34     13      0      0      0      0   8001   1935      0      0   3753   8163      -    414      0 
    0     31     57      -     40     15      0      0      0      0   8001   1935      0      0   3753   8163      -      0      1 
    0     25     57      -     37     13      0      0      0      0   8001   1965      0      0   3753   8163      -      0      0 
    0     34     58      -     48     17      0      0      0      0   8001   2040      0      0   3753   8163      -     14      2 
    0     40     58      -     50     19      0      0      0      0   8001   2220      0      0   3753   8163      -      0      8 
    0     37     60      -     16      8      0      0      0      0   8001   2295      0      0   3753   8163      -     22      0 
    0     20     57      -     24     25      0      0      0      0   8001   1380      0      0   3753   8163      -      3      0 
    0     21     56      -      0      0      0      0      0      0   8001   1170      0      0   3753   8163      -      8      1 
    0     15     56      -      0      0      0      0      0      0   6001    960      0      0   3753   8163      -      0      6 
    0     15     56      -     16     15      0      0      0      0   6001    765      0      0   3753   8163      -      0     36 
    0     15     56      -      0      0      0      0      0      0   6001    735      0      0   3753   8163      -      7     33 
    0     12     56      -     18     16      0      0      0      0   6001    735      0      0   3753   8163      -      0      3 
    0     15     57      -     54     48      0      0      0      0   6001    765      0      0   3753   8163      -      0      0 
    0     14     56      -     10      9      0      0      0      0   6001    780      0      0   3753   8163      -      4      0 
    0     15     56      -     27     24      0      0      0      0   6001    675      0      0   3753   8163      -      7     35 
    0     15     56      -     51     48      0      0      0      0   6001    840      0      0   3753   8163      -      0      4 
