ts_iso_utc,kind,domain,rc,actual_mhz,request_mhz,tdp_mhz,efficient_mhz,throttle_reasons,energy_uj,timestamp_us,power_w
2026-09-25T07:56:01.735769+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:56:01.735769+00:00,freq,1,0,550.0,550.0,1200.0,550.0,0,,,
2026-09-25T07:56:01.735769+00:00,power,0,0,,,,,,110422144598,314215892236,0.0
2026-09-25T07:56:02.740175+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:56:02.740175+00:00,freq,1,0,550.0,550.0,1200.0,550.0,0,,,
2026-09-25T07:56:02.740175+00:00,power,0,0,,,,,,110422144598,314216896691,0.0
2026-09-25T07:56:03.731101+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:56:03.731101+00:00,freq,1,0,550.0,550.0,1200.0,550.0,0,,,
2026-09-25T07:56:03.731101+00:00,power,0,0,,,,,,110422144598,314217887538,0.0
2026-09-25T07:56:04.734738+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:56:04.734738+00:00,freq,1,0,550.0,550.0,1200.0,550.0,0,,,
2026-09-25T07:56:04.734738+00:00,power,0,0,,,,,,110422144659,314218891162,6.077973424310299e-05
2026-09-25T07:56:05.738263+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:56:05.738263+00:00,freq,1,0,550.0,550.0,1200.0,550.0,0,,,
2026-09-25T07:56:05.738263+00:00,power,0,0,,,,,,110422144659,314219894673,0.0
2026-09-25T07:56:06.752119+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:56:06.752119+00:00,freq,1,0,550.0,550.0,1200.0,550.0,0,,,
2026-09-25T07:56:06.752119+00:00,power,0,0,,,,,,110422144659,314220908494,0.0
2026-09-25T07:56:07.748819+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:56:07.748819+00:00,freq,1,0,550.0,550.0,1200.0,600.0,0,,,
2026-09-25T07:56:07.748819+00:00,power,0,0,,,,,,110422144659,314221905227,0.0
2026-09-25T07:56:08.734977+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:56:08.734977+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:08.734977+00:00,power,0,0,,,,,,110422144659,314222891306,0.0
2026-09-25T07:56:09.749040+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:56:09.749040+00:00,freq,1,0,600.0,600.0,1200.0,550.0,0,,,
2026-09-25T07:56:09.749040+00:00,power,0,0,,,,,,110422144659,314223905401,0.0
2026-09-25T07:56:10.747761+00:00,freq,0,0,2500.0,4250.0,2500.0,900.0,0,,,
2026-09-25T07:56:10.747761+00:00,freq,1,0,550.0,550.0,1200.0,600.0,0,,,
2026-09-25T07:56:10.747761+00:00,power,0,0,,,,,,110422144659,314224904020,0.0
2026-09-25T07:56:11.734760+00:00,freq,0,0,1600.0,4250.0,1600.0,900.0,2,,,
2026-09-25T07:56:11.734760+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:11.734760+00:00,power,0,0,,,,,,110422756071,314225890730,0.6196471100931378
2026-09-25T07:56:12.749075+00:00,freq,0,0,1450.0,4250.0,1500.0,900.0,2,,,
2026-09-25T07:56:12.749075+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:12.749075+00:00,power,0,0,,,,,,110435543302,314226905063,12.606541441518713
2026-09-25T07:56:13.733855+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:13.733855+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:13.733855+00:00,power,0,0,,,,,,110446881277,314227889874,11.51284358115415
2026-09-25T07:56:14.735007+00:00,freq,0,0,1550.0,4250.0,1550.0,900.0,2,,,
2026-09-25T07:56:14.735007+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:14.735007+00:00,power,0,0,,,,,,110458409597,314228890920,11.516273977419619
2026-09-25T07:56:15.736346+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:15.736346+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:15.736346+00:00,power,0,0,,,,,,110469662244,314229892217,11.238071221625551
2026-09-25T07:56:16.739914+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:16.739914+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:16.739914+00:00,power,0,0,,,,,,110480773107,314230895773,11.071492771703822
2026-09-25T07:56:17.736357+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:17.736357+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:17.736357+00:00,power,0,0,,,,,,110491222898,314231892174,10.487535640771135
2026-09-25T07:56:18.751477+00:00,freq,0,0,1600.0,4250.0,1600.0,900.0,2,,,
2026-09-25T07:56:18.751477+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:18.751477+00:00,power,0,0,,,,,,110501769162,314232907316,10.388954451692472
2026-09-25T07:56:19.737101+00:00,freq,0,0,1550.0,4250.0,1550.0,900.0,2,,,
2026-09-25T07:56:19.737101+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:19.737101+00:00,power,0,0,,,,,,110511660641,314233892919,10.03596681422439
2026-09-25T07:56:20.750861+00:00,freq,0,0,1650.0,4250.0,1600.0,900.0,2,,,
2026-09-25T07:56:20.750861+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:20.750861+00:00,power,0,0,,,,,,110520924031,314234906708,9.137394467685091
2026-09-25T07:56:21.739718+00:00,freq,0,0,1700.0,4250.0,1700.0,900.0,2,,,
2026-09-25T07:56:21.739718+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:21.739718+00:00,power,0,0,,,,,,110530210102,314235895499,9.391338513396663
2026-09-25T07:56:22.728177+00:00,freq,0,0,1650.0,4250.0,1700.0,900.0,2,,,
2026-09-25T07:56:22.728177+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:22.728177+00:00,power,0,0,,,,,,110538874103,314236883925,8.765452345446194
2026-09-25T07:56:23.730027+00:00,freq,0,0,1650.0,4250.0,1600.0,900.0,2,,,
2026-09-25T07:56:23.730027+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:23.730027+00:00,power,0,0,,,,,,110547714496,314237885733,8.824438415345057
2026-09-25T07:56:24.730858+00:00,freq,0,0,1700.0,4250.0,1700.0,900.0,2,,,
2026-09-25T07:56:24.730858+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:24.730858+00:00,power,0,0,,,,,,110556463359,314238886533,8.741869504396483
2026-09-25T07:56:25.731775+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:25.731775+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:25.731775+00:00,power,0,0,,,,,,110565141910,314239887473,8.670400823226167
2026-09-25T07:56:26.744926+00:00,freq,0,0,1600.0,4250.0,1600.0,900.0,2,,,
2026-09-25T07:56:26.744926+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:26.744926+00:00,power,0,0,,,,,,110573577701,314240900686,8.325782436664355
2026-09-25T07:56:27.742465+00:00,freq,0,0,1700.0,4250.0,1700.0,900.0,2,,,
2026-09-25T07:56:27.742465+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:27.742465+00:00,power,0,0,,,,,,110581795314,314241898093,8.238976666496225
2026-09-25T07:56:28.728591+00:00,freq,0,0,1700.0,4250.0,1700.0,900.0,2,,,
2026-09-25T07:56:28.728591+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:28.728591+00:00,power,0,0,,,,,,110590209864,314242884188,8.53320420446306
2026-09-25T07:56:29.729599+00:00,freq,0,0,1700.0,4250.0,1700.0,900.0,2,,,
2026-09-25T07:56:29.729599+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:29.729599+00:00,power,0,0,,,,,,110598868090,314243885186,8.649593705481928
2026-09-25T07:56:30.732294+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:30.732294+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:30.732294+00:00,power,0,0,,,,,,110607379259,314244887863,8.488445431579661
2026-09-25T07:56:31.744867+00:00,freq,0,0,1650.0,4250.0,1650.0,900.0,2,,,
2026-09-25T07:56:31.744867+00:00,freq,1,0,600.0,600.0,1200.0,600.0,0,,,
2026-09-25T07:56:31.744867+00:00,power,0,0,,,,,,110615925706,314245900426,8.440410127567372
2026-09-25T07:56:32.742535+00:00,freq,0,0,1700.0,4250.0,1700.0,900.0,2,,,
