timestamp, utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], clocks_event_reasons.active
2026/09/25 04:09:26.269, 0 %, 210 MHz, 405 MHz, 4.33 W, 62, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:27.279, 0 %, 210 MHz, 405 MHz, 1.97 W, 62, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:28.284, 0 %, 210 MHz, 405 MHz, 1.98 W, 62, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:29.299, 0 %, 210 MHz, 405 MHz, 2.00 W, 62, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:30.302, 0 %, 210 MHz, 405 MHz, 2.02 W, 62, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:31.303, 0 %, 210 MHz, 405 MHz, 2.05 W, 62, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:32.308, 0 %, 210 MHz, 405 MHz, 2.04 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:33.308, 0 %, 210 MHz, 405 MHz, 2.05 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:34.312, 0 %, 210 MHz, 405 MHz, 2.04 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:35.316, 0 %, 210 MHz, 405 MHz, 2.02 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:36.319, 0 %, 210 MHz, 405 MHz, 2.00 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:37.320, 0 %, 210 MHz, 405 MHz, 2.02 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:38.325, 0 %, 210 MHz, 405 MHz, 2.04 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:39.340, 0 %, 210 MHz, 405 MHz, 2.02 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:40.353, 0 %, 210 MHz, 405 MHz, 2.02 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:41.367, 0 %, 210 MHz, 405 MHz, 2.03 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:42.369, 0 %, 210 MHz, 405 MHz, 2.49 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:43.371, 0 %, 210 MHz, 405 MHz, 2.05 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:44.373, 0 %, 210 MHz, 405 MHz, 2.70 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:45.376, 0 %, 210 MHz, 405 MHz, 2.07 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:46.380, 0 %, 210 MHz, 405 MHz, 3.70 W, 61, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:47.394, 0 %, 210 MHz, 405 MHz, 2.34 W, 60, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:48.395, 0 %, 210 MHz, 405 MHz, 2.11 W, 60, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:49.410, 0 %, 210 MHz, 405 MHz, 2.01 W, 60, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:50.414, 0 %, 210 MHz, 405 MHz, 2.06 W, 60, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:51.418, 0 %, 210 MHz, 405 MHz, 2.08 W, 60, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:52.422, 0 %, 210 MHz, 405 MHz, 2.10 W, 60, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:53.428, 100 %, 210 MHz, 405 MHz, 6.05 W, 60, 7813 MiB, 0x0000000000000001
2026/09/25 04:09:54.440, 99 %, 2325 MHz, 8001 MHz, 102.46 W, 73, 7813 MiB, 0x0000000000000004
2026/09/25 04:09:55.455, 100 %, 2265 MHz, 8001 MHz, 101.35 W, 74, 7813 MiB, 0x0000000000000004
2026/09/25 04:09:56.458, 100 %, 2235 MHz, 8001 MHz, 101.01 W, 74, 7813 MiB, 0x0000000000000004
2026/09/25 04:09:57.473, 100 %, 2370 MHz, 8001 MHz, 101.77 W, 75, 7813 MiB, 0x0000000000000004
2026/09/25 04:09:58.487, 99 %, 2505 MHz, 8001 MHz, 103.21 W, 75, 7813 MiB, 0x0000000000000004
2026/09/25 04:09:59.488, 100 %, 2490 MHz, 8001 MHz, 101.22 W, 75, 7813 MiB, 0x0000000000000004
2026/09/25 04:10:00.491, 99 %, 2550 MHz, 8001 MHz, 103.30 W, 75, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:01.493, 100 %, 2550 MHz, 8001 MHz, 101.60 W, 75, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:02.496, 100 %, 2535 MHz, 8001 MHz, 101.21 W, 75, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:03.501, 100 %, 2550 MHz, 8001 MHz, 100.82 W, 76, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:04.507, 100 %, 2550 MHz, 8001 MHz, 99.59 W, 76, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:05.511, 100 %, 2550 MHz, 8001 MHz, 100.05 W, 77, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:06.514, 100 %, 2550 MHz, 8001 MHz, 100.31 W, 77, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:07.521, 100 %, 2550 MHz, 8001 MHz, 99.36 W, 78, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:08.536, 100 %, 2550 MHz, 8001 MHz, 99.70 W, 79, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:09.551, 100 %, 2550 MHz, 8001 MHz, 99.70 W, 78, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:10.553, 100 %, 2550 MHz, 8001 MHz, 99.39 W, 78, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:11.554, 100 %, 2550 MHz, 8001 MHz, 100.17 W, 79, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:12.557, 100 %, 2550 MHz, 8001 MHz, 99.42 W, 79, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:13.561, 100 %, 2550 MHz, 8001 MHz, 99.37 W, 80, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:14.564, 100 %, 2550 MHz, 8001 MHz, 99.78 W, 80, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:15.566, 100 %, 2550 MHz, 8001 MHz, 100.24 W, 81, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:16.568, 100 %, 2550 MHz, 8001 MHz, 99.59 W, 80, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:17.572, 100 %, 2550 MHz, 8001 MHz, 100.25 W, 81, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:18.574, 0 %, 2550 MHz, 8001 MHz, 78.00 W, 73, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:19.579, 0 %, 2550 MHz, 8001 MHz, 25.59 W, 73, 7813 MiB, 0x0000000000000000
2026/09/25 04:10:20.593, 0 %, 510 MHz, 8001 MHz, 22.99 W, 71, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:21.598, 0 %, 330 MHz, 6001 MHz, 8.69 W, 71, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:22.601, 0 %, 210 MHz, 6001 MHz, 8.35 W, 70, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:23.603, 0 %, 210 MHz, 6001 MHz, 8.34 W, 70, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:24.609, 0 %, 210 MHz, 810 MHz, 4.37 W, 70, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:25.614, 0 %, 210 MHz, 405 MHz, 2.21 W, 69, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:26.620, 0 %, 210 MHz, 405 MHz, 1.77 W, 69, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:27.635, 0 %, 210 MHz, 405 MHz, 1.77 W, 69, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:28.637, 0 %, 210 MHz, 405 MHz, 1.78 W, 69, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:29.639, 0 %, 210 MHz, 405 MHz, 1.77 W, 69, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:30.657, 0 %, 210 MHz, 405 MHz, 1.78 W, 68, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:31.671, 0 %, 210 MHz, 405 MHz, 1.79 W, 68, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:32.674, 0 %, 210 MHz, 405 MHz, 1.78 W, 68, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:33.677, 0 %, 210 MHz, 405 MHz, 1.83 W, 68, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:34.679, 0 %, 210 MHz, 405 MHz, 1.83 W, 68, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:35.682, 0 %, 210 MHz, 405 MHz, 1.78 W, 67, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:36.697, 0 %, 210 MHz, 405 MHz, 1.82 W, 67, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:37.698, 0 %, 210 MHz, 405 MHz, 1.84 W, 67, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:38.702, 0 %, 210 MHz, 405 MHz, 2.00 W, 67, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:39.706, 0 %, 210 MHz, 405 MHz, 1.78 W, 67, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:40.709, 0 %, 210 MHz, 405 MHz, 1.78 W, 67, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:41.712, 0 %, 210 MHz, 405 MHz, 1.77 W, 67, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:42.727, 0 %, 210 MHz, 405 MHz, 1.82 W, 66, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:43.729, 0 %, 210 MHz, 405 MHz, 1.81 W, 66, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:44.730, 0 %, 210 MHz, 405 MHz, 1.82 W, 66, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:45.732, 0 %, 210 MHz, 405 MHz, 1.82 W, 66, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:46.747, 0 %, 210 MHz, 405 MHz, 1.83 W, 66, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:47.752, 0 %, 210 MHz, 405 MHz, 1.83 W, 66, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:48.758, 0 %, 210 MHz, 405 MHz, 1.83 W, 66, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:49.763, 0 %, 210 MHz, 405 MHz, 1.83 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:50.767, 0 %, 210 MHz, 405 MHz, 1.84 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:51.770, 0 %, 210 MHz, 405 MHz, 1.87 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:52.773, 0 %, 210 MHz, 405 MHz, 1.89 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:53.779, 0 %, 210 MHz, 405 MHz, 1.89 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:54.786, 0 %, 210 MHz, 405 MHz, 1.92 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:55.788, 0 %, 210 MHz, 405 MHz, 1.93 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:56.790, 0 %, 210 MHz, 405 MHz, 1.91 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:57.791, 0 %, 210 MHz, 405 MHz, 1.97 W, 65, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:58.797, 0 %, 210 MHz, 405 MHz, 1.98 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:10:59.799, 0 %, 210 MHz, 405 MHz, 1.95 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:00.806, 0 %, 210 MHz, 405 MHz, 1.93 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:01.810, 0 %, 210 MHz, 405 MHz, 1.92 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:02.812, 0 %, 210 MHz, 405 MHz, 1.94 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:03.813, 0 %, 210 MHz, 405 MHz, 1.91 W, 64, 7813 MiB, 0x0000000000000001
2026/09/25 04:11:04.817, 0 %, 210 MHz, 405 MHz, 1.87 W, 64, 7813 MiB, 0x0000000000000001
